area-de-gasto,politica-de-gasto,grupo-de-programas,programa,denominacion
1,,,,SERVICIOS PÚBLICOS BÁSICOS.
1,13,,,Seguridad y movilidad ciudadana.
,13,130,,Administración general de la seguridad y protección civil.
,13,132,,Seguridad y Orden Público.
,13,133,,Ordenación del tráfico y del estacionamiento
,13,134,,Movilidad urbana.
,13,135,,Protección civil.
,13,136,,Servicio de prevención y extinción de incendios.
1,15,,,Vivienda y urbanismo.
,15,150,,Administración General de Vivienda y urbanismo.
,15,151,,Urbanismo: planeamiento gestión ejecución y disciplina urbanística.
,15,152,,Vivienda.
,,152,1521,Promoción y gestión de vivienda de protección pública.
,,152,1522,Conservación y rehabilitación de la edificación.
,15,153,,Vías públicas.
,,153,1531,Acceso a los núcleos de población.
,,153,1532,Pavimentación de vías públicas.
1,16,,,Bienestar comunitario.
,16,160,,Alcantarillado.
,16,161,,Abastecimiento domiciliario de agua potable.
,16,162,,Recogida gestión y tratamiento de residuos.
,,162,1621,Recogida de residuos.
,,162,1622,Gestión de residuos sólidos urbanos.
,,162,1623,Tratamiento de residuos.
,,162,,Limpieza viaria.
,,162,,Cementerio y servicios funerarios.
,,162,,Alumbrado público.
1,17,,,Medio ambiente.
,17,170,,Administración general del medio ambiente.
,17,171,,Parques y jardines.
,17,172,,Protección y mejora del medio ambiente.
,,172,1721,Protección contra la contaminación acústica lumínica y atmosférica en las zonas urbanas.
2,,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL.
2,21,,,Pensiones.
,21,211,,Pensiones.
2,22,,,Otras prestaciones económicas a favor de empleados.
,22,221,,Otras prestaciones económicas a favor de empleados.
2,23,,,Servicios Sociales y promoción social.
,23,231,,Asistencia social primaria.
2,24,,,Fomento del Empleo.
,24,241,,Fomento del Empleo.
3,,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE.
,31,,,Sanidad.
,31,311,,Protección de la salubridad pública.
,31,312,,Hospitales servicios asistenciales y centros de salud.
3,32,,,Educación.
,32,320,,Administración general de educación.
,32,321,,Creación de Centros docentes de enseñanza preescolar y primaria.
,32,322,,Creación de Centros docentes de enseñanza secundaria.
,32,323,,Funcionamiento de centros docentes de enseñanza preescolar y primaria y educación especial.
,32,324,,Funcionamiento de centros docentes de enseñanza secundaria.
,32,325,,Vigilancia del cumplimiento de la escolaridad obligatoria.
,32,326,,Servicios complementarios de educación
,32,327,,Fomento de la convivencia ciudadana.
3,33,,,Cultura.
,33,330,,Administración general de cultura.
,33,332,,Bibliotecas y Archivos.
,,332,3321,Bibliotecas públicas.
,,332,3322,Archivos.
,33,333,,Equipamientos culturales y museos.
,33,334,,Promoción cultural.
,33,336,,Protección y gestión del Patrimonio Histórico-Artístico.
,33,337,,Instalaciones de ocupación del tiempo libre
,33,338,,Fiestas populares y festejos.
3,34,,,Deporte.
,34,340,,Administración general de deportes.
,34,341,,Promoción y fomento del deporte.
,34,342,,Instalaciones deportivas.
4,,,,ACTUACIONES DE CARÁCTER ECONÓMICO.
4,41,,,Agricultura Ganadería y Pesca.
,41,410,,Administración general de agricultura ganadería y pesca.
,41,412,,Mejora de las estructuras agropecuarias y de los sistemas productivos.
,41,414,,Desarrollo rural.
